word,frequency,code,nothing
industria,182914, 21014,
paz,182849, 90,
acceso,182755, 700,
objetivos,182623, 96180,
Centro,182573, 0214,
artículos,182423, 41750,
resto,181603, 401,
tiempos,181528, 1390,
razones,180351, 4020,
responsabilidad,180180, 409209511,
autores,180117, 140,
perspectiva,179794, 9409718,
factores,179662, 87140,
distribución,178303, 1014902,
°,177718, ,
contenido,177375, 72121,
espíritu,177204, 0941,
novela,177165, 285,
ciencia,177046, 020,
comunidades,176211, 732110,
D.,175669, 1,
protección,175427, 941702,
niño,174645, 22,
poesía,174115, 90,
Educación,174087, 1702,
Venezuela,174037, 8205,
Desarrollo,173777, 104,
escuela,173723, 075,
carta,172804, 741,
final,172675, 825,
ingresos,172568, 26400,
memoria,172066, 334,
género,171926, 624,
decisión,171506, 1002,
tradición,171385, 14102,
diferencias,171378, 184200,
pesos,170921, 900,
violencia,170883, 8520,
provincia,170269, 94820,
R.,170039, 4,
precios,169812, 9400,
calle,169594, 7,
mitad,169084, 311,
competencia,168728, 739120,
título,168458, 115,
influencia,168217, 28520,
representación,168197, 49402102,
padres,167672, 9140,
aspecto,167241, 0971,
París,167232, 940,
C,167046, 7,
gestión,166547, 6012,
defensa,166376, 1820,
González,166304, 62050,
don,166261, 12,
Jesús,165720, 600,
fe,165414, 8,
mar,164971, 34,
Cuba,164949, 79,
ayuda,164787, 1,
pago,164764, 96,
capítulo,164729, 7915,
ciudades,164149, 0110,
música,163917, 307,
Lima,163754, 53,
riesgo,163297, 406,
integración,163216, 216402,
s,163197, 0,
textos,162650, 1010,
tratamiento,162406, 141321,
zonas,161923, 020,
rey,161919, 4,
propósito,161642, 94901,
Artículo,161374, 4175,
juicio,161274, 60,
corazón,161158, 7402,
ser,160399, 04,
et,159401, 1,
aumento,158515, 321,
lugares,158108, 5640,
especie,158048, 090,
consumo,157866, 7203,
alma,157721, 53,
actitud,157628, 7111,
pasado,157447, 901,
conflicto,156902, 728571,
York,156731, 47,
Don,156551, 12,
éxito,156308, 61,
•,156267, ,
Francia,156039, 8420,
indios,154200, 210,
edición,154182, 102,
interior,153806, 2144,
decisiones,153628, 10020,
habitantes,153488, 91210,
López,153274, 590,
juego,153231, 66,
jóvenes,152824, 6820,
revolución,152678, 48502,
sur,152657, 04,
propuesta,152586, 94901,
solución,152201, 0502,
peso,152146, 90,
pobreza,151753, 9940,
río,151278, 4,
nación,151191, 202,
clases,151023, 7500,
circunstancias,150713, 047201200,
Real,150226, 45,
motivo,150045, 318,
E.,149612, ,
total,149568, 115,
Dirección,149466, 14702,
esfuerzo,149304, 0840,
tarea,149253, 14,
contrario,149042, 72144,
personal,148581, 94025,
Fernando,148309, 84221,
aire,148221, 4,
materiales,148092, 31450,
IV,148052, 9,
tipos,148001, 190,
evolución,147458, 8502,
precio,147031, 940,
dólares,146553, 1540,
suelo,146336, 05,
No.,146193, 2,
torno,146045, 142,
filosofía,145957, 8508,
Estudios,145812, 0110,
tendencia,145732, 12120,
momentos,145731, 33210,
V,145639, 9,
institución,145520, 201102,
posibilidades,145376, 9095110,
Brasil,144728, 9405,
Jorge,144396, 646,
fuentes,144381, 8210,
Señor,144221, 024,
intervención,144078, 2148202,
familias,144040, 8350,
etapa,143897, 19,
sangre,143846, 0264,
León,143678, 52,
color,143372, 754,
lectura,143357, 5714,
amigos,142752, 360,
destino,142630, 1012,
poeta,142430, 91,
reconocimiento,142014, 4720321,
cumplimiento,141327, 7395321,
d,140543, 1,
in,140398, 2,
general,140313, 6245,
elecciones,140009, 57020,
fuente,139916, 821,
Partido,139850, 9411,
Unión,139595, 22,
presente,139559, 94021,
fenómeno,139224, 8232,
documentos,139052, 173210,
cuadro,138634, 714,
sujeto,138359, 061,
puerta,137774, 941,
prueba,137739, 949,
amigo,137684, 36,
bases,137520, 900,
estilo,136946, 015,
viaje,136543, 86,
ingreso,136521, 2640,
ocasiones,136265, 7020,
elemento,136133, 5321,
Ciudad,135867, 011,
interpretación,135855, 21494102,
personajes,135849, 940260,
regiones,134690, 4620,
generación,134687, 62402,
periodo,134543, 941,
estrategia,134197, 01416,
tasa,134049, 10,
actos,134005, 710,
Martínez,133888, 34120,
vía,133501, 8,
mercados,133434, 34710,
enseñanza,133267, 20220,
S.,133192, 0,
elección,132953, 5702,
diciembre,132845, 10394,
Martín,132812, 3412,
teatro,132770, 114,
individuos,132743, 21810,
Rodríguez,132703, 41460,
bien,132641, 92,
espacios,132494, 0900,
Costa,132258, 701,
centros,132009, 02140,
Pérez,131705, 940,
movimientos,131704, 383210,
particular,131209, 941754,
University,131103, 28401,
Código,130961, 716,
oposición,130450, 9002,
público,130413, 9957,
sociedades,130171, 00110,
límites,130154, 5310,
crítica,129843, 7417,
pie,129735, 9,
armas,129206, 430,
ciudadanos,129166, 01120,
plan,129039, 952,
puesto,128692, 901,
equipo,128652, 79,
gobiernos,128646, 69420,
Revista,128320, 4801,
oportunidad,128195, 941211,
jefe,128137, 68,
mañana,128084, 322,
estados,128006, 0110,
asunto,127967, 021,
Press,127775, 9400,
m,127767, 3,
frecuencia,127699, 84720,
situaciones,127648, 01020,
cara,127365, 74,
enero,127176, 24,
Cultura,127020, 7514,
comportamiento,126574, 73941321,
supuesto,126290, 0901,
superficie,126166, 09480,
prensa,125995, 9420,
entrada,125882, 2141,
resolución,125686, 40502,
Administración,125645, 13201402,
documento,125487, 17321,
casas,125419, 700,
deseo,125010, 10,
suerte,124983, 041,
disposición,124765, 109002,
actores,124706, 7140,
distancia,124616, 10120,
terreno,124526, 142,
director,124503, 14714,
silencio,124460, 0520,
evaluación,124417, 8502,
búsqueda,124353, 9071,
Guerra,124297, 64,
mecanismos,124146, 372030,
Santo,124010, 021,
F.,123963, 8,
Paz,123951, 90,
energía,123774, 246,
gastos,123706, 6010,
Puerto,123639, 941,
independencia,123573, 2192120,
concepción,123545, 720902,
procedimiento,123524, 9401321,
español,123279, 0925,
G.,123261, 6,
crédito,123018, 7411,
método,123018, 311,
alumnos,122885, 5320,
continuación,122832, 721202,
consecuencias,122820, 7207200,
ejército,122764, 6401,
Secretaría,122479, 07414,
curso,122421, 740,
operaciones,122244, 94020,
Dr.,122002, 14,
técnicas,121575, 17270,
prácticas,121509, 947170,
L.,121341, 5,
sitio,121275, 01,
oro,121199, 4,
Pablo,120380, 995,
líneas,120254, 520,
mirada,120243, 341,
ejecución,119664, 6702,
criterios,119659, 74140,
publicación,119628, 995702,
ausencia,119542, 020,
Nación,119399, 202,
Felipe,119328, 859,
páginas,119260, 9620,
Tribunal,119247, 14925,
contra,119128, 7214,
virtud,118871, 8411,
operación,118866, 9402,
Cruz,118862, 740,
doctor,118715, 1714,
dolor,118658, 154,
venta,118443, 821,
definición,118267, 18202,
sol,118251, 05,
Ejecutivo,118135, 6718,
Fuente,118097, 821,
funcionamiento,118007, 8202321,
instrumentos,117990, 20143210,
apertura,117925, 9414,
manejo,117711, 326,
siglos,117559, 0650,
abril,117553, 945,
estudiantes,117442, 011210,
imágenes,117369, 3620,
pena,117358, 92,
ocasión,117320, 702,
B,117080, 9,
conflictos,117054, 7285710,
campaña,116860, 7392,
plano,116769, 952,
contrato,116722, 72141,
conducta,116635, 72171,
S.A.,116564, 0,
enfermedad,116452, 284311,
Fernández,116350, 842210,
marcha,115989, 346,
Sur,115834, 04,
reglas,115323, 4650,
Cuadro,115100, 714,
Programa,115087, 94643,
Editorial,114952, 1145,
causas,114703, 700,
Cámara,114500, 734,
informe,114444, 2843,
dificultades,114440, 1875110,
deuda,114021, 11,
Enrique,113797, 247,
españoles,113747, 09250,
compañía,113614, 7392,
labor,113518, 594,
beneficios,113292, 92800,
realización,113195, 45002,
red,113068, 41,
cielo,113059, 05,
Comercio,112947, 7340,
cuestiones,112865, 70120,
gobernador,112825, 694214,
disposiciones,112803, 1090020,
pág,112688, 96,
Río,112655, 4,
i,112580, ,
aguas,112425, 60,
confianza,111990, 72820,
H.,111407, ,
XIX,111385, 60,
costos,111323, 7010,
individuo,111022, 2181,
lector,110859, 5714,
op,110833, 9,
objetos,110698, 9610,
discusión,110680, 10702,
norte,110614, 241,
personaje,110569, 94026,
esfuerzos,110562, 08400,
mal,110496, 35,
entidades,110439, 21110,
estructuras,110402, 0147140,
tecnología,110334, 17256,
Guatemala,110304, 6135,
recurso,110270, 4740,
pérdida,110246, 9411,
Salvador,110190, 05814,
especies,110060, 0900,
animales,109760, 2350,
tesis,109720, 100,
debate,109670, 191,
Sociedad,109473, 0011,
conceptos,109189, 720910,
respeto,109141, 4091,
reformas,109028, 48430,
costo,108800, 701,
Junta,108774, 621,
Departamento,108767, 1941321,
escritura,108586, 07414,
revista,108564, 4801,
contacto,108086, 72171,
P.,107927, 9,
S,107810, 0,
transformación,107751, 142084302,
nota,107549, 21,
modelos,107442, 3150,
profesor,107292, 94804,
Norte,107215, 241,
unidades,107188, 2110,
sueño,107133, 02,
volumen,107126, 8532,
material,107120, 3145,
asuntos,106933, 0210,
Cristo,106925, 7401,
impacto,106860, 3971,
Sánchez,106693, 0260,
Julio,106618, 65,
Poder,106428, 914,
tamaño,105783, 132,
Diego,105745, 16,
noviembre,105668, 28394,
Rafael,105655, 485,
iglesia,105653, 650,
significado,105526, 062871,
matrimonio,105475, 31432,
funcionarios,105221, 820240,
tarde,105170, 141,
gasto,105159, 601,
Bogotá,105054, 961,
fuego,105044, 86,
reducción,105035, 41702,
izquierda,104120, 0741,
instrumento,103852, 2014321,
dominio,103757, 132,
organismos,103626, 462030,
Corte,103549, 741,
resistencia,103409, 400120,
Distrito,103113, 10141,
conocimientos,102958, 7203210,
presión,102901, 9402,
compromiso,102840, 739430,
hija,102720, 6,
págs,102671, 960,
experiencias,102510, 094200,
muestra,102379, 3014,
factor,102331, 8714,
cine,101895, 02,
hermano,101573, 432,
incremento,101555, 274321,
religión,101388, 4562,
nombres,101343, 23940,
New,101260, 2,
siguientes,101203, 06210,
autonomía,101071, 123,
escuelas,101028, 0750,
estrategias,100960, 014160,
Trabajo,100883, 1496,
f,100843, 8,
Justicia,100810, 6010,
partir,100629, 9414,
maestro,100251, 3014,
entidad,100230, 2111,
plantas,100198, 95210,
transporte,100066, 1420941,
mente,99921, 321,
fondos,99805, 8210,
oficio,99802, 80,
consideración,99662, 7201402,
Gómez,99636, 630,
Escuela,99525, 075,
actualidad,99476, 71511,
propuestas,99392, 949010,
Fondo,99379, 821,
establecimiento,99359, 01950321,
febrero,99193, 8944,
tareas,99078, 140,
miedo,98934, 31,
vol,98929, 85,
as,98844, 0,
escritor,98842, 07414,
Derechos,98828, 1460,
salida,98738, 051,
XX,98700, 00,
boca,98535, 97,
procedimientos,98482, 94013210,
inicio,98413, 20,
Salud,98298, 051,
extensión,98219, 01202,
riqueza,98195, 470,
Casa,98117, 70,
Decreto,98097, 1741,
obligación,97966, 95602,
representantes,97778, 494021210,
seres,97734, 040,
legislación,97701, 560502,
diálogo,97700, 156,
agosto,97683, 601,
criterio,97522, 7414,
cooperación,97508, 79402,
explotación,97460, 095102,
misión,97446, 302,
escala,97099, 075,
Comité,97070, 731,
mesa,96942, 30,
diseño,96801, 102,
Alberto,96767, 5941,
semana,96672, 032,
versión,96454, 8402,
peligro,96353, 9564,
intención,96229, 21202,
carrera,95888, 744,
ministro,95883, 32014,
B.,95651, 9,
reunión,95623, 422,
acuerdos,95583, 7410,
Díaz,95343, 10,
reflexión,95262, 48562,
carne,95260, 742,
dimensión,95232, 13202,
clave,95227, 758,
porcentaje,94891, 940216,
negocios,94864, 2600,
finales,94712, 8250,
norma,94673, 243,
margen,94611, 3462,
beneficio,94606, 9280,
métodos,94396, 3110,
costa,94085, 701,
expansión,93961, 09202,
inversiones,93950, 284020,
Federación,93925, 81402,
D,93874, 1,
décadas,93671, 1710,
Rica,93669, 47,
carga,93442, 746,
Andrés,93353, 2140,
Bolivia,93281, 958,
poema,93218, 93,
esperanza,93143, 09420,
doctrina,92882, 17142,
rasgos,92866, 4060,
Caracas,92825, 7470,
fase,92807, 80,
pregunta,92790, 94621,
Revolución,92623, 48502,
Grupo,92289, 649,
I.,92279, ,
sección,92187, 0702,
planes,92074, 9520,
elaboración,91970, 59402,
agentes,91939, 6210,
Ramón,91896, 432,
Director,91880, 14714,
presentación,91871, 9402102,
calles,91636, 70,
escena,91490, 002,
relato,91224, 451,
motivos,90899, 3180,
iniciativa,90660, 2018,
entorno,90287, 2142,
televisión,90206, 15802,
Eduardo,90139, 141,
municipios,90056, 32090,
Plan,89952, 952,
aprendizaje,89865, 942106,
obligaciones,89741, 956020,
lista,89725, 501,
igualdad,89533, 6511,
planta,89527, 9521,
sentencia,89411, 02120,
madera,89404, 314,
M,89371, 3,
Sistema,88965, 0013,
cuentas,88945, 7210,
mas,88897, 30,
Hacienda,88773, 021,
suma,88717, 03,
ejemplos,88705, 63950,
equilibrio,88458, 7594,
art,88349, 41,
Secretario,88302, 07414,
Rey,88274, 4,
partida,88215, 9411,
alimentos,88155, 53210,
Ciencias,87938, 0200,
ciencias,87745, 0200,
utilización,87737, 15002,
tasas,87729, 100,
Londres,87564, 52140,
excepción,87434, 00902,
agricultura,87375, 647514,
hermanos,87170, 4320,
Servicios,87147, 04800,
progreso,86912, 94640,
campos,86804, 7390,
altura,86727, 514,
preguntas,86514, 946210,
promedio,86401, 9431,
Sevilla,86309, 08,
escenario,86285, 0024,
indígenas,86252, 21620,
oportunidades,86138, 9412110,
Valencia,86098, 8520,
categoría,86095, 7164,
oferta,86055, 841,
piedra,85996, 914,
Roma,85930, 43,
hipótesis,85652, 9100,
Alemania,85609, 532,
ed,85519, 1,
alcance,85491, 5720,
Colegio,85455, 756,
t,85261, 1,
preocupación,85253, 947902,
pruebas,85234, 9490,
naciones,85219, 2020,
Ecuador,85116, 714,
comprensión,85102, 7394202,
provincias,85001, 948200,
página,84952, 962,
división,84905, 1802,
Castilla,84875, 701,
poderes,84351, 9140,
intento,84341, 2121,
Alfonso,84286, 5820,
plaza,84143, 950,
campesinos,83807, 739020,
Habana,83795, 92,
moneda,83729, 321,
Ministro,83610, 32014,
enfoque,83557, 287,
cm,83469, 73,
visita,83404, 801,
voto,83394, 81,
registro,83317, 46014,
par,83303, 94,
rostro,83111, 4014,
vecinos,83110, 8020,
conservación,83093, 7204802,
acontecimientos,83065, 72103210,
policía,82817, 950,
minutos,82691, 3210,
figuras,82499, 8640,
Academia,82464, 713,
investigaciones,82460, 28016020,
esposa,82429, 090,
compañeros,82265, 739240,
declaración,82211, 175402,
frontera,82203, 84214,
caminos,82193, 7320,
X,82168, 0,
aparición,82131, 9402,
hogar,82080, 64,
órdenes,82067, 4120,
asistencia,81989, 00120,
Vicente,81976, 8021,
empleados,81946, 39510,
edificio,81916, 180,
nacimiento,81788, 20321,
exposición,81514, 09002,
índice,81493, 210,
encuentro,81446, 27214,
diversidad,81385, 184011,
soldados,81324, 05110,
personalidad,81310, 9402511,
Córdoba,81261, 7419,
humanidad,81203, 3211,
totalidad,81196, 11511,
negocio,81026, 260,
Ricardo,80818, 4741,
costumbres,80813, 7013940,
globalización,80730, 6595002,
café,80685, 78,
Archivo,80624, 468,
exportaciones,80608, 0941020,
Valle,80545, 8,
esquema,80448, 073,
impuestos,80384, 39010,
isla,80369, 05,
descripción,80368, 1074902,
concentración,80223, 72021402,
VI,80128, 8,
vuelta,80078, 851,
Castro,80076, 7014,
difusión,80038, 1802,
gusto,80033, 601,
sexo,80028, 00,
conformidad,79992, 7284311,
sentimiento,79967, 021321,
v,79886, 9,
paciente,79850, 9021,
Asamblea,79795, 0395,
firma,79794, 843,
tendencias,79786, 121200,
pies,79767, 90,
Figura,79663, 864,
cartas,79632, 7410,
Ejército,79614, 6401,
caída,79521, 71,
posiciones,79515, 90020,
actuación,79513, 7102,
Facultad,79463, 87511,
V.,79427, 9,
enfermedades,79252, 2843110,
error,79251, 44,
metros,79239, 3140,
diario,79142, 14,
plata,79017, 951,
Villa,78768, 8,
composición,78733, 739002,
señora,78664, 024,
Alonso,78635, 520,
ritmo,78627, 413,
derecha,78616, 146,
cuidado,78516, 711,
Granada,78380, 6421,
presupuesto,78335, 940901,
noventa,78252, 2821,
transición,78111, 142002,
secretario,78070, 07414,
promoción,78021, 94302,
juez,77958, 60,
vivienda,77938, 8821,
acerca,77903, 047,
proporción,77796, 949402,
patria,77758, 914,
patrimonio,77752, 91432,
Asociación,77494, 0002,
profesores,77490, 948040,
Uruguay,77359, 46,
selección,77321, 05702,
instancia,77319, 20120,
Hernández,77313, 42210,
municipio,77263, 3209,
miembro,77194, 3394,
US,77128, 0,
ciclo,77125, 075,
capacitación,76983, 790102,
Italia,76951, 15,
pacientes,76870, 90210,
Sr.,76588, 04,
mediados,76529, 3110,
conclusión,76521, 727502,
constitución,76434, 7201102,
reino,76346, 42,
orientación,76330, 42102,
toma,76322, 13,
Capítulo,76294, 7915,
cuerpos,76227, 7490,
pasos,76143, 900,
Carta,75924, 741,
bienestar,75861, 92014,
explicación,75763, 095702,
intercambio,75567, 214739,
maestros,75551, 30140,
corte,75539, 741,
noticias,75538, 2100,
párrafo,75428, 948,
fracción,75416, 84702,
técnica,75410, 1727,
colaboración,75409, 759402,
productores,75395, 9417140,
Washington,75381, 62612,
títulos,75103, 1150,
Proyecto,75068, 9471,
sentimientos,75020, 0213210,
votos,75007, 810,
recuperación,74841, 479402,
mantenimiento,74637, 3212321,
piel,74624, 95,
departamento,74556, 1941321,
P,74533, 9,
llegada,74498, 61,
mensaje,74465, 3206,
Reforma,74457, 4843,
golpe,74440, 659,
l,74394, 5,
inteligencia,74365, 215620,
revisión,74339, 4802,
comisión,74258, 7302,
fiesta,74256, 801,
respuestas,74228, 409010,
bancos,74196, 9270,
masas,74134, 300,
mecanismo,74046, 37203,
estabilidad,73899, 019511,
decreto,73870, 1741,
pintura,73865, 9214,
sombra,73814, 0394,
marido,73721, 341,
hojas,73636, 60,
puerto,73615, 941,
honor,73596, 24,
California,73594, 75842,
Relaciones,73498, 45020,
encima,73497, 203,
menudo,73489, 321,
John,73133, 62,
organismo,73119, 46203,
cargos,72870, 7460,
capitán,72630, 7912,
universidad,72617, 284011,
doña,72500, 12,
entrega,72461, 2146,
Tomás,72445, 130,
redes,72444, 410,
posesión,72403, 9002,
culturas,72311, 75140,
Servicio,72183, 0480,
notas,72047, 210,
Diario,72039, 14,
Museo,72030, 30,
unión,72017, 22,
tono,72014, 12,
Nicaragua,71976, 2746,
exterior,71935, 0144,
obreros,71919, 9440,
opción,71869, 902,
eficiencia,71845, 8020,
Roberto,71718, 4941,
políticos,71683, 95170,
componentes,71657, 7392210,
Caribe,71574, 749,
Biblioteca,71499, 99517,
infraestructura,71495, 284014714,
Reyes,71430, 40,
órganos,71415, 4620,
Inglaterra,71355, 26514,
Internet,71326, 21421,
Economía,71249, 723,
salarios,71244, 0540,
negociación,71228, 26002,
Montevideo,71227, 32181,
Tierra,71177, 14,
Reglamento,71113, 465321,
joven,71082, 682,
Ana,71026, 2,
variables,71011, 84950,
Mundo,70992, 321,
poblaciones,70924, 995020,
per,70841, 94,
árboles,70714, 4950,
Acuerdo,70496, 741,
noticia,70392, 210,
coordinación,70343, 741202,
cifras,70094, 0840,
eficacia,70076, 870,
contratos,70062, 721410,
dependencia,69985, 192120,
productividad,69983, 94171811,
Véase,69912, 80,
aprobación,69897, 94902,
señores,69781, 0240,
Ignacio,69779, 620,
testimonio,69749, 10132,
vigencia,69730, 8620,
masa,69603, 30,
American,69580, 3472,
Guillermo,69518, 643,
