word,frequency,transcription,si_no
D.,175669,1,Error
novela,177165,285,n
ciencia,177046,020,n
comunidades,176211,732110,n
protección,175427,941702,n
niño,174645,22,n
Educación,174087,1702,n
poesía,174115,90,n
Desarrollo,173777,104,n
escuela,173723,075,n
carta,172804,741,s
Venezuela,174037,8205,n
final,172675,825,n
ingresos,172568,26400,n
género,171926,624,n
decisión,171506,1002,n
tradición,171385,14102,n
memoria,172066,334,n
diferencias,171378,184200,n
R.,170039,4,Error
pesos,170921,900,n
provincia,170269,94820,n
precios,169812,9400,n
violencia,170883,8520,n
calle,169594,7,n
competencia,168728,739120,n
título,168458,115,n
mitad,169084,311,n
influencia,168217,28520,n
padres,167672,9140,n
aspecto,167241,0971,n
representación,168197,49402102,n
París,167232,940,n
C,167046,7,n
gestión,166547,6012,n
defensa,166376,1820,n
don,166261,12,n
González,166304,62050,n
fe,165414,8,n
mar,164971,34,n
Jesús,165720,600,n
Cuba,164949,79,n
ayuda,164787,1,n
capítulo,164729,7915,n
pago,164764,96,n
música,163917,307,n
ciudades,164149,0110,n
riesgo,163297,406,n
s,163197,0,n
integración,163216,216402,n
Lima,163754,53,s
tratamiento,162406,141321,n
textos,162650,1010,n
zonas,161923,020,n
rey,161919,4,n
propósito,161642,94901,n
Artículo,161374,4175,n
juicio,161274,60,n
corazón,161158,7402,n
ser,160399,04,n
et,159401,1,n
lugares,158108,5640,n
aumento,158515,321,n
especie,158048,090,n
consumo,157866,7203,n
actitud,157628,7111,n
alma,157721,53,n
pasado,157447,901,n
conflicto,156902,728571,n
•,156267,,Error
York,156731,47,n
Don,156551,12,n
éxito,156308,61,n
indios,154200,210,n
Francia,156039,8420,n
edición,154182,102,n
interior,153806,2144,n
decisiones,153628,10020,n
habitantes,153488,91210,n
López,153274,590,n
juego,153231,66,n
revolución,152678,48502,n
jóvenes,152824,6820,n
propuesta,152586,94901,n
peso,152146,90,s
solución,152201,0502,n
pobreza,151753,9940,n
río,151278,4,n
nación,151191,202,n
clases,151023,7500,n
Real,150226,45,n
E.,149612,,Error
circunstancias,150713,047201200,n
motivo,150045,318,n
total,149568,115,n
Dirección,149466,14702,n
esfuerzo,149304,0840,n
contrario,149042,72144,n
personal,148581,94025,n
sur,152657,04,n
tarea,149253,14,n
Fernando,148309,84221,n
aire,148221,4,n
materiales,148092,31450,n
IV,148052,9,n
precio,147031,940,n
evolución,147458,8502,n
No.,146193,2,Error
suelo,146336,05,s
dólares,146553,1540,n
tipos,148001,190,n
torno,146045,142,s
Estudios,145812,0110,n
filosofía,145957,8508,n
tendencia,145732,12120,n
momentos,145731,33210,n
V,145639,9,n
institución,145520,201102,n
posibilidades,145376,9095110,n
Brasil,144728,9405,n
Jorge,144396,646,n
fuentes,144381,8210,n
Señor,144221,024,n
intervención,144078,2148202,n
familias,144040,8350,n
etapa,143897,19,n
sangre,143846,0264,n
color,143372,754,n
León,143678,52,n
lectura,143357,5714,n
destino,142630,1012,n
amigos,142752,360,n
poeta,142430,91,n
cumplimiento,141327,7395321,n
reconocimiento,142014,4720321,n
d,140543,1,n
in,140398,2,n
general,140313,6245,n
elecciones,140009,57020,n
fuente,139916,821,s
Partido,139850,9411,n
Unión,139595,22,n
fenómeno,139224,8232,n
presente,139559,94021,s
documentos,139052,173210,n
cuadro,138634,714,s
puerta,137774,941,s
sujeto,138359,061,n
prueba,137739,949,n
estilo,136946,015,n
bases,137520,900,n
viaje,136543,86,n
amigo,137684,36,n
ingreso,136521,2640,n
ocasiones,136265,7020,n
elemento,136133,5321,n
Ciudad,135867,011,n
personajes,135849,940260,n
interpretación,135855,21494102,n
regiones,134690,4620,n
generación,134687,62402,n
periodo,134543,941,n
tasa,134049,10,n
estrategia,134197,01416,n
actos,134005,710,n
Martínez,133888,34120,n
S.,133192,0,Error
vía,133501,8,n
mercados,133434,34710,n
diciembre,132845,10394,n
enseñanza,133267,20220,n
teatro,132770,114,n
individuos,132743,21810,n
elección,132953,5702,n
Martín,132812,3412,n
Rodríguez,132703,41460,n
espacios,132494,0900,n
Costa,132258,701,n
bien,132641,92,n
movimientos,131704,383210,n
particular,131209,941754,n
centros,132009,02140,n
Pérez,131705,940,n
Código,130961,716,n
público,130413,9957,n
University,131103,28401,n
oposición,130450,9002,n
sociedades,130171,00110,n
crítica,129843,7417,n
límites,130154,5310,n
pie,129735,9,s
armas,129206,430,n
ciudadanos,129166,01120,n
plan,129039,952,n
puesto,128692,901,n
equipo,128652,79,n
gobiernos,128646,69420,n
oportunidad,128195,941211,n
Revista,128320,4801,s
jefe,128137,68,n
estados,128006,0110,n
mañana,128084,322,n
asunto,127967,021,n
Press,127775,9400,n
situaciones,127648,01020,n
m,127767,3,n
frecuencia,127699,84720,n
cara,127365,74,n
enero,127176,24,n
comportamiento,126574,73941321,n
Cultura,127020,7514,n
supuesto,126290,0901,n
superficie,126166,09480,n
prensa,125995,9420,s
entrada,125882,2141,n
resolución,125686,40502,n
Administración,125645,13201402,n
documento,125487,17321,s
deseo,125010,10,n
casas,125419,700,n
suerte,124983,041,n
disposición,124765,109002,n
actores,124706,7140,n
distancia,124616,10120,n
director,124503,14714,n
terreno,124526,142,s
silencio,124460,0520,n
evaluación,124417,8502,n
Guerra,124297,64,n
F.,123963,8,Error
búsqueda,124353,9071,n
mecanismos,124146,372030,n
Santo,124010,021,n
Paz,123951,90,n
energía,123774,246,n
gastos,123706,6010,n
Puerto,123639,941,n
concepción,123545,720902,n
G.,123261,6,Error
independencia,123573,2192120,n
procedimiento,123524,9401321,n
crédito,123018,7411,n
español,123279,0925,n
método,123018,311,n
alumnos,122885,5320,n
continuación,122832,721202,n
consecuencias,122820,7207200,n
Secretaría,122479,07414,n
Dr.,122002,14,Error
ejército,122764,6401,n
operaciones,122244,94020,n
L.,121341,5,Error
curso,122421,740,n
técnicas,121575,17270,n
prácticas,121509,947170,n
sitio,121275,01,n
oro,121199,4,s
Pablo,120380,995,n
líneas,120254,520,n
mirada,120243,341,n
ejecución,119664,6702,n
criterios,119659,74140,n
publicación,119628,995702,n
ausencia,119542,020,n
Nación,119399,202,n
Felipe,119328,859,n
páginas,119260,9620,n
contra,119128,7214,n
Tribunal,119247,14925,n
operación,118866,9402,n
virtud,118871,8411,n
Cruz,118862,740,s
doctor,118715,1714,n
dolor,118658,154,n
definición,118267,18202,n
venta,118443,821,n
sol,118251,05,n
Fuente,118097,821,s
funcionamiento,118007,8202321,n
Ejecutivo,118135,6718,n
instrumentos,117990,20143210,n
apertura,117925,9414,n
manejo,117711,326,n
siglos,117559,0650,n
abril,117553,945,n
estudiantes,117442,011210,n
pena,117358,92,n
imágenes,117369,3620,n
ocasión,117320,702,n
B,117080,9,n
campaña,116860,7392,n
conflictos,117054,7285710,n
S.A.,116564,0,Error
plano,116769,952,s
conducta,116635,72171,n
contrato,116722,72141,n
enfermedad,116452,284311,n
Fernández,116350,842210,n
reglas,115323,4650,n
Sur,115834,04,n
Cuadro,115100,714,s
marcha,115989,346,n
Programa,115087,94643,n
causas,114703,700,n
Editorial,114952,1145,n
Cámara,114500,734,s
informe,114444,2843,n
dificultades,114440,1875110,n
deuda,114021,11,n
Enrique,113797,247,n
compañía,113614,7392,n
españoles,113747,09250,n
labor,113518,594,n
beneficios,113292,92800,n
red,113068,41,n
realización,113195,45002,n
cielo,113059,05,n
Comercio,112947,7340,n
cuestiones,112865,70120,n
pág,112688,96,n
gobernador,112825,694214,n
disposiciones,112803,1090020,n
aguas,112425,60,n
H.,111407,,Error
i,112580,,n
Río,112655,4,n
confianza,111990,72820,n
XIX,111385,60,n
costos,111323,7010,n
individuo,111022,2181,n
lector,110859,5714,n
op,110833,9,n
objetos,110698,9610,s
norte,110614,241,n
discusión,110680,10702,n
personaje,110569,94026,n
esfuerzos,110562,08400,n
mal,110496,35,n
entidades,110439,21110,n
estructuras,110402,0147140,n
tecnología,110334,17256,n
Guatemala,110304,6135,n
recurso,110270,4740,n
pérdida,110246,9411,n
Salvador,110190,05814,n
especies,110060,0900,n
animales,109760,2350,n
tesis,109720,100,n
debate,109670,191,n
Sociedad,109473,0011,n
conceptos,109189,720910,n
reformas,109028,48430,n
respeto,109141,4091,n
Junta,108774,621,n
escritura,108586,07414,n
Departamento,108767,1941321,n
P.,107927,9,Error
costo,108800,701,n
revista,108564,4801,s
contacto,108086,72171,n
S,107810,0,n
transformación,107751,142084302,n
nota,107549,21,n
modelos,107442,3150,n
Norte,107215,241,n
profesor,107292,94804,n
sueño,107133,02,n
volumen,107126,8532,n
material,107120,3145,s
asuntos,106933,0210,n
impacto,106860,3971,n
Cristo,106925,7401,n
Sánchez,106693,0260,n
Poder,106428,914,n
Julio,106618,65,n
noviembre,105668,28394,n
tamaño,105783,132,n
unidades,107188,2110,n
Diego,105745,16,n
significado,105526,062871,n
Rafael,105655,485,n
matrimonio,105475,31432,n
tarde,105170,141,n
gasto,105159,601,n
iglesia,105653,650,n
funcionarios,105221,820240,n
izquierda,104120,0741,n
Bogotá,105054,961,n
fuego,105044,86,n
reducción,105035,41702,n
organismos,103626,462030,n
Corte,103549,741,n
dominio,103757,132,n
instrumento,103852,2014321,s
resistencia,103409,400120,n
conocimientos,102958,7203210,n
Distrito,103113,10141,n
presión,102901,9402,n
compromiso,102840,739430,n
hija,102720,6,n
págs,102671,960,n
experiencias,102510,094200,n
muestra,102379,3014,s
factor,102331,8714,n
cine,101895,02,n
hermano,101573,432,n
incremento,101555,274321,n
religión,101388,4562,n
nombres,101343,23940,n
New,101260,2,n
siguientes,101203,06210,n
autonomía,101071,123,n
escuelas,101028,0750,n
estrategias,100960,014160,n
Trabajo,100883,1496,n
f,100843,8,n
Justicia,100810,6010,n
maestro,100251,3014,n
partir,100629,9414,n
entidad,100230,2111,n
transporte,100066,1420941,n
mente,99921,321,n
fondos,99805,8210,n
plantas,100198,95210,n
oficio,99802,80,n
Gómez,99636,630,n
Escuela,99525,075,n
actualidad,99476,71511,n
consideración,99662,7201402,n
propuestas,99392,949010,n
Fondo,99379,821,n
febrero,99193,8944,n
tareas,99078,140,n
miedo,98934,31,n
establecimiento,99359,01950321,n
escritor,98842,07414,n
as,98844,0,n
vol,98929,85,n
Derechos,98828,1460,n
XX,98700,00,n
boca,98535,97,n
salida,98738,051,n
procedimientos,98482,94013210,n
inicio,98413,20,n
Salud,98298,051,n
extensión,98219,01202,n
riqueza,98195,470,n
Decreto,98097,1741,n
Casa,98117,70,s
obligación,97966,95602,n
representantes,97778,494021210,n
legislación,97701,560502,n
seres,97734,040,n
diálogo,97700,156,n
agosto,97683,601,n
explotación,97460,095102,n
cooperación,97508,79402,n
criterio,97522,7414,n
escala,97099,075,n
misión,97446,302,n
mesa,96942,30,s
Comité,97070,731,n
Alberto,96767,5941,n
versión,96454,8402,n
diseño,96801,102,n
semana,96672,032,n
ministro,95883,32014,n
B.,95651,9,Error
peligro,96353,9564,n
intención,96229,21202,n
carrera,95888,744,n
acuerdos,95583,7410,n
reunión,95623,422,n
reflexión,95262,48562,n
Díaz,95343,10,n
carne,95260,742,s
dimensión,95232,13202,n
clave,95227,758,n
porcentaje,94891,940216,n
finales,94712,8250,n
margen,94611,3462,n
norma,94673,243,n
negocios,94864,2600,n
costa,94085,701,n
beneficio,94606,9280,n
métodos,94396,3110,n
inversiones,93950,284020,n
expansión,93961,09202,n
Federación,93925,81402,n
D,93874,1,n
Rica,93669,47,n
décadas,93671,1710,n
carga,93442,746,s
Andrés,93353,2140,n
Bolivia,93281,958,n
poema,93218,93,n
esperanza,93143,09420,n
rasgos,92866,4060,n
doctrina,92882,17142,n
Caracas,92825,7470,n
fase,92807,80,n
I.,92279,,Error
Revolución,92623,48502,n
Grupo,92289,649,n
pregunta,92790,94621,n
sección,92187,0702,n
elaboración,91970,59402,n
planes,92074,9520,n
agentes,91939,6210,n
Ramón,91896,432,n
Director,91880,14714,n
presentación,91871,9402102,n
relato,91224,451,n
escena,91490,002,n
motivos,90899,3180,n
iniciativa,90660,2018,n
entorno,90287,2142,n
calles,91636,70,n
televisión,90206,15802,s
Eduardo,90139,141,n
Plan,89952,952,n
municipios,90056,32090,n
aprendizaje,89865,942106,n
obligaciones,89741,956020,n
lista,89725,501,n
igualdad,89533,6511,n
planta,89527,9521,s
sentencia,89411,02120,n
madera,89404,314,s
M,89371,3,n
Sistema,88965,0013,n
cuentas,88945,7210,n
mas,88897,30,n
Hacienda,88773,021,n
suma,88717,03,n
ejemplos,88705,63950,n
art,88349,41,n
Secretario,88302,07414,n
equilibrio,88458,7594,n
Rey,88274,4,n
alimentos,88155,53210,n
partida,88215,9411,n
Ciencias,87938,0200,n
ciencias,87745,0200,n
utilización,87737,15002,n
tasas,87729,100,n
excepción,87434,00902,n
Londres,87564,52140,n
agricultura,87375,647514,n
Servicios,87147,04800,n
progreso,86912,94640,n
hermanos,87170,4320,n
altura,86727,514,n
campos,86804,7390,n
preguntas,86514,946210,n
promedio,86401,9431,n
Sevilla,86309,08,n
escenario,86285,0024,n
oportunidades,86138,9412110,n
indígenas,86252,21620,n
Valencia,86098,8520,n
categoría,86095,7164,n
piedra,85996,914,s
oferta,86055,841,n
Roma,85930,43,n
hipótesis,85652,9100,n
Alemania,85609,532,n
ed,85519,1,n
alcance,85491,5720,n
Colegio,85455,756,n
t,85261,1,n
preocupación,85253,947902,n
pruebas,85234,9490,n
Ecuador,85116,714,n
comprensión,85102,7394202,n
página,84952,962,s
provincias,85001,948200,n
naciones,85219,2020,n
división,84905,1802,n
Castilla,84875,701,n
poderes,84351,9140,n
intento,84341,2121,n
plaza,84143,950,n
Alfonso,84286,5820,n
campesinos,83807,739020,n
Habana,83795,92,n
moneda,83729,321,s
visita,83404,801,n
cm,83469,73,n
enfoque,83557,287,n
Ministro,83610,32014,n
voto,83394,81,n
registro,83317,46014,n
par,83303,94,n
rostro,83111,4014,n
vecinos,83110,8020,n
conservación,83093,7204802,n
acontecimientos,83065,72103210,n
policía,82817,950,n
minutos,82691,3210,n
figuras,82499,8640,n
Academia,82464,713,n
investigaciones,82460,28016020,n
compañeros,82265,739240,n
esposa,82429,090,n
frontera,82203,84214,n
caminos,82193,7320,n
declaración,82211,175402,n
X,82168,0,n
aparición,82131,9402,n
asistencia,81989,00120,n
órdenes,82067,4120,n
hogar,82080,64,n
empleados,81946,39510,n
edificio,81916,180,s
nacimiento,81788,20321,n
Vicente,81976,8021,n
exposición,81514,09002,n
índice,81493,210,n
encuentro,81446,27214,n
personalidad,81310,9402511,n
diversidad,81385,184011,n
soldados,81324,05110,n
Córdoba,81261,7419,n
humanidad,81203,3211,n
totalidad,81196,11511,n
negocio,81026,260,n
Ricardo,80818,4741,n
costumbres,80813,7013940,n
globalización,80730,6595002,n
café,80685,78,s
Archivo,80624,468,s
Valle,80545,8,n
esquema,80448,073,n
exportaciones,80608,0941020,n
impuestos,80384,39010,n
concentración,80223,72021402,n
descripción,80368,1074902,n
isla,80369,05,n
VI,80128,8,n
vuelta,80078,851,n
gusto,80033,601,n
difusión,80038,1802,n
sexo,80028,00,n
Castro,80076,7014,n
sentimiento,79967,021321,n
conformidad,79992,7284311,n
paciente,79850,9021,n
firma,79794,843,n
Asamblea,79795,0395,n
tendencias,79786,121200,n
Figura,79663,864,s
cartas,79632,7410,n
pies,79767,90,n
v,79886,9,n
posiciones,79515,90020,n
Ejército,79614,6401,n
V.,79427,9,Error
caída,79521,71,n
actuación,79513,7102,n
enfermedades,79252,2843110,n
Facultad,79463,87511,n
error,79251,44,n
metros,79239,3140,n
plata,79017,951,s
diario,79142,14,s
composición,78733,739002,n
señora,78664,024,n
Villa,78768,8,n
ritmo,78627,413,n
derecha,78616,146,n
Alonso,78635,520,n
cuidado,78516,711,n
Granada,78380,6421,s
transición,78111,142002,n
presupuesto,78335,940901,n
noventa,78252,2821,n
secretario,78070,07414,n
promoción,78021,94302,n
juez,77958,60,n
vivienda,77938,8821,s
acerca,77903,047,n
patria,77758,914,n
proporción,77796,949402,n
Asociación,77494,0002,n
patrimonio,77752,91432,n
Uruguay,77359,46,n
selección,77321,05702,n
profesores,77490,948040,n
Hernández,77313,42210,n
instancia,77319,20120,n
miembro,77194,3394,n
municipio,77263,3209,n
US,77128,0,n
ciclo,77125,075,n
Sr.,76588,04,Error
Italia,76951,15,n
pacientes,76870,90210,n
capacitación,76983,790102,n
mediados,76529,3110,n
conclusión,76521,727502,n
constitución,76434,7201102,n
reino,76346,42,n
orientación,76330,42102,n
toma,76322,13,n
pasos,76143,900,n
Capítulo,76294,7915,n
cuerpos,76227,7490,n
Carta,75924,741,s
bienestar,75861,92014,n
intercambio,75567,214739,n
explicación,75763,095702,n
corte,75539,741,n
maestros,75551,30140,n
noticias,75538,2100,n
párrafo,75428,948,n
fracción,75416,84702,n
técnica,75410,1727,n
colaboración,75409,759402,n
productores,75395,9417140,n
Washington,75381,62612,n
títulos,75103,1150,n
Proyecto,75068,9471,n
sentimientos,75020,0213210,n
votos,75007,810,n
recuperación,74841,479402,n
mantenimiento,74637,3212321,n
departamento,74556,1941321,n
piel,74624,95,s
P,74533,9,n
llegada,74498,61,n
mensaje,74465,3206,n
golpe,74440,659,n
l,74394,5,n
inteligencia,74365,215620,n
Reforma,74457,4843,n
comisión,74258,7302,n
revisión,74339,4802,n
respuestas,74228,409010,n
fiesta,74256,801,n
bancos,74196,9270,n
masas,74134,300,n
mecanismo,74046,37203,n
estabilidad,73899,019511,n
decreto,73870,1741,n
pintura,73865,9214,s
hojas,73636,60,n
marido,73721,341,n
puerto,73615,941,n
honor,73596,24,n
sombra,73814,0394,n
California,73594,75842,n
Relaciones,73498,45020,n
menudo,73489,321,n
encima,73497,203,n
John,73133,62,n
cargos,72870,7460,n
capitán,72630,7912,n
organismo,73119,46203,n
universidad,72617,284011,n
doña,72500,12,n
entrega,72461,2146,n
redes,72444,410,n
Tomás,72445,130,n
Servicio,72183,0480,n
posesión,72403,9002,n
culturas,72311,75140,n
notas,72047,210,n
Museo,72030,30,n
Diario,72039,14,n
unión,72017,22,n
tono,72014,12,n
Nicaragua,71976,2746,n
exterior,71935,0144,n
obreros,71919,9440,n
Roberto,71718,4941,n
opción,71869,902,n
eficiencia,71845,8020,n
políticos,71683,95170,n
componentes,71657,7392210,n
Biblioteca,71499,99517,n
Caribe,71574,749,n
infraestructura,71495,284014714,n
Reyes,71430,40,n
Inglaterra,71355,26514,n
Internet,71326,21421,n
órganos,71415,4620,n
Economía,71249,723,n
salarios,71244,0540,n
negociación,71228,26002,n
Montevideo,71227,32181,n
Tierra,71177,14,n
Reglamento,71113,465321,n
joven,71082,682,n
Mundo,70992,321,n
variables,71011,84950,n
Ana,71026,2,n
poblaciones,70924,995020,n
per,70841,94,n
Acuerdo,70496,741,n
noticia,70392,210,n
árboles,70714,4950,n
coordinación,70343,741202,n
eficacia,70076,870,n
cifras,70094,0840,n
contratos,70062,721410,n
dependencia,69985,192120,n
aprobación,69897,94902,n
productividad,69983,94171811,n
Véase,69912,80,n
señores,69781,0240,n
testimonio,69749,10132,n
masa,69603,30,s
Ignacio,69779,620,n
